Sigla;Código;Município;Renda - rendimentos do trabalho (2000)
CE;2313807;Uruburetama;73754
CE;2313906;Uruoca;50759
CE;2313955;Varjota;60586
CE;2314003;Várzea Alegre;40585
CE;2314102;Viçosa do Ceará;53095
CE;2399919;Entre Rios;NA
CE;2399929;Mecejana;NA
CE;2399939;Vertentes;NA
DF;5300108;Brasília;74014
ES;3200102;Afonso Cláudio;69531
ES;3200136;Águia Branca;73231
ES;3200169;Água Doce do Norte;68021
ES;3200201;Alegre;6591
ES;3200300;Alfredo Chaves;71496
ES;3200359;Alto Rio Novo;66221
ES;3200409;Anchieta;63443
ES;3200508;Apiacá;69052
ES;3200607;Aracruz;72498
ES;3200706;Atilio Vivacqua;67105
ES;3200805;Baixo Guandu;6644
ES;3200904;Barra de São Francisco;69673
ES;3201001;Boa Esperança;70294
ES;3201100;Bom Jesus do Norte;66
ES;3201159;Brejetuba;76223
ES;3201209;Cachoeiro de Itapemirim;71005
ES;3201308;Cariacica;72007
ES;3201407;Castelo;74666
ES;3201506;Colatina;72536
ES;3201605;Conceição da Barra;7029
ES;3201704;Conceição do Castelo;71999
ES;3201803;Divino de São Lourenço;69499
ES;3201902;Domingos Martins;67551
ES;3202009;Dores do Rio Preto;74668
ES;3202108;Ecoporanga;6653
ES;3202207;Fundão;69606
ES;3202256;Governador Lindenberg;NA
ES;3202306;Guaçuí;63737
ES;3202405;Guarapari;72624
ES;3202454;Ibatiba;81298
ES;3202504;Ibiraçu;77696
ES;3202553;Ibitirama;74988
ES;3202603;Iconha;69788
ES;3202652;Irupi;75762
ES;3202702;Itaguaçu;75251
ES;3202801;Itapemirim;67509
ES;3202900;Itarana;72716
ES;3203007;Iúna;7761
ES;3203056;Jaguaré;73691
ES;3203106;Jerônimo Monteiro;70552
ES;3203130;João Neiva;71927
ES;3203163;Laranja da Terra;67783
ES;3203205;Linhares;78538
ES;3203304;Mantenópolis;72271
ES;3203320;Marataízes;7291
ES;3203346;Marechal Floriano;76704
ES;3203353;Marilândia;77281
ES;3203403;Mimoso do Sul;70512
ES;3203502;Montanha;64125
ES;3203601;Mucurici;60793
ES;3203700;Muniz Freire;72955
ES;3203809;Muqui;60988
ES;3203908;Nova Venécia;74009
ES;3204005;Pancas;60615
ES;3204054;Pedro Canário;71694
ES;3204104;Pinheiros;72585
ES;3204203;Piúma;69622
ES;3204252;Ponto Belo;61198
ES;3204302;Presidente Kennedy;67018
ES;3204351;Rio Bananal;7248
ES;3204401;Rio Novo do Sul;66589
ES;3204500;Santa Leopoldina;7271
ES;3204559;Santa Maria de Jetibá;73813
ES;3204609;Santa Teresa;66745
ES;3204658;São Domingos do Norte;68061
ES;3204708;São Gabriel da Palha;81232
ES;3204807;São José do Calçado;66285
ES;3204906;São Mateus;71734
ES;3204955;São Roque do Canaã;75678
ES;3205002;Serra;72805
ES;3205010;Sooretama;75998
ES;3205036;Vargem Alta;78303
ES;3205069;Venda Nova do Imigrante;76066
ES;3205101;Viana;72963
ES;3205150;Vila Pavão;77443
ES;3205176;Vila Valério;81544
ES;3205200;Vila Velha;70865
ES;3205309;Vitória;69279
ES;3299919;Riacho;NA
ES;3299929;Ponte do Itabapoana;NA
GO;5200050;Abadia de Goiás;76823
GO;5200100;Abadiânia;72285
GO;5200134;Acreúna;75875
GO;5200159;Adelândia;66959
GO;5200175;Água Fria de Goiás;62163
GO;5200209;Água Limpa;73175
GO;5200258;Águas Lindas de Goiás;7636
GO;5200308;Alexânia;669
GO;5200506;Aloândia;72063
GO;5200555;Alto Horizonte;74648
GO;5200605;Alto Paraíso de Goiás;69127
GO;5200803;Alvorada do Norte;67255
GO;5200829;Amaralina;62015
GO;5200852;Americano do Brasil;69727
GO;5200902;Amorinópolis;72052
GO;5201108;Anápolis;74112
GO;5201207;Anhanguera;7104
GO;5201306;Anicuns;64881
GO;5201405;Aparecida de Goiânia;80022
GO;5201454;Aparecida do Rio Doce;79185
GO;5201504;Aporé;80755
GO;5201603;Araçu;71062
GO;5201702;Aragarças;73634
GO;5201801;Aragoiânia;76279
GO;5202155;Araguapaz;75167
GO;5202353;Arenópolis;73801
GO;5202502;Aruanã;77084
GO;5202601;Aurilândia;68802
GO;5202809;Avelinópolis;73019
GO;5203104;Baliza;67852
GO;5203203;Barro Alto;72956
GO;5203302;Bela Vista de Goiás;76546
GO;5203401;Bom Jardim de Goiás;7664
GO;5203500;Bom Jesus de Goiás;78999
GO;5203559;Bonfinópolis;72459
GO;5203575;Bonópolis;65503
GO;5203609;Brazabrantes;72994
GO;5203807;Britânia;76975
GO;5203906;Buriti Alegre;75045
GO;5203939;Buriti de Goiás;6939
GO;5203962;Buritinópolis;44689
GO;5204003;Cabeceiras;61291
GO;5204102;Cachoeira Alta;73762
GO;5204201;Cachoeira de Goiás;75833
GO;5204250;Cachoeira Dourada;70158
GO;5204300;Caçu;78743
GO;5204409;Caiapônia;73472
GO;5204508;Caldas Novas;77185
GO;5204557;Caldazinha;77261
GO;5204607;Campestre de Goiás;71634
GO;5204656;Campinaçu;6547
GO;5204706;Campinorte;73309
GO;5204805;Campo Alegre de Goiás;70672
GO;5204854;Campo Limpo de Goiás;NA
GO;5204904;Campos Belos;66481
GO;5204953;Campos Verdes;69589
GO;5205000;Carmo do Rio Verde;71173
GO;5205059;Castelândia;76792
GO;5205109;Catalão;71731
GO;5205208;Caturaí;72983
GO;5205307;Cavalcante;43884
GO;5205406;Ceres;70986
GO;5205455;Cezarina;75354
GO;5205471;Chapadão do Céu;84474
GO;5205497;Cidade Ocidental;75503
GO;5205513;Cocalzinho de Goiás;6766
GO;5205521;Colinas do Sul;59609
GO;5205703;Córrego do Ouro;72897
GO;5205802;Corumbá de Goiás;66101
GO;5205901;Corumbaíba;76706
GO;5206206;Cristalina;73646
GO;5206305;Cristianópolis;75147
GO;5206404;Crixás;69879
GO;5206503;Cromínia;7395
GO;5206602;Cumari;71391
GO;5206701;Damianópolis;53107
GO;5206800;Damolândia;7356
GO;5206909;Davinópolis;71082
GO;5207105;Diorama;76534
GO;5207253;Doverlândia;69837
GO;5207352;Edealina;76698
GO;5207402;Edéia;79402
GO;5207501;Estrela do Norte;65826
GO;5207535;Faina;71273
GO;5207600;Fazenda Nova;75959
GO;5207808;Firminópolis;6879
GO;5207907;Flores de Goiás;48039
GO;5208004;Formosa;6965
GO;5208103;Formoso;63983
GO;5208152;Gameleira de Goiás;NA
GO;5208301;Divinópolis de Goiás;57272
GO;5208400;Goianápolis;74226
GO;5208509;Goiandira;70503
GO;5208608;Goianésia;77616
GO;5208707;Goiânia;75044
GO;5208806;Goianira;76333
GO;5208905;Goiás;73063
GO;5209101;Goiatuba;76571
GO;5209150;Gouvelândia;75193
GO;5209200;Guapó;7446
GO;5209291;Guaraíta;65804
GO;5209408;Guarani de Goiás;4685
GO;5209457;Guarinos;57338
GO;5209606;Heitoraí;71582
GO;5209705;Hidrolândia;77665
GO;5209804;Hidrolina;68216
GO;5209903;Iaciara;57832
GO;5209937;Inaciolândia;77319
GO;5209952;Indiara;81456
GO;5210000;Inhumas;75309
GO;5210109;Ipameri;72722
GO;5210158;Ipiranga de Goiás;NA
GO;5210208;Iporá;7588
GO;5210307;Israelândia;75535
GO;5210406;Itaberaí;7875
GO;5210562;Itaguari;72101
GO;5210604;Itaguaru;72334
GO;5210802;Itajá;75279
GO;5210901;Itapaci;74231
GO;5211008;Itapirapuã;72516
GO;5211206;Itapuranga;71083
GO;5211305;Itarumã;77573
GO;5211404;Itauçu;73683
GO;5211503;Itumbiara;75483
GO;5211602;Ivolândia;70228
GO;5211701;Jandaia;74921
GO;5211800;Jaraguá;74456
GO;5211909;Jataí;77657
GO;5212006;Jaupaci;72627
GO;5212055;Jesúpolis;70893
GO;5212105;Joviânia;74676
GO;5212204;Jussara;77567
GO;5212253;Lagoa Santa;NA
GO;5212303;Leopoldo de Bulhões;72832
GO;5212501;Luziânia;73957
GO;5212600;Mairipotaba;73672
GO;5212709;Mambaí;5786
GO;5212808;Mara Rosa;74096
GO;5212907;Marzagão;75145
GO;5212956;Matrinchã;76435
GO;5213004;Maurilândia;82546
GO;5213053;Mimoso de Goiás;59268
GO;5213087;Minaçu;66508
GO;5213103;Mineiros;77837
GO;5213400;Moiporá;76526
GO;5213509;Monte Alegre de Goiás;40369
GO;5213707;Montes Claros de Goiás;78908
GO;5213756;Montividiu;78156
GO;5213772;Montividiu do Norte;52166
GO;5213806;Morrinhos;73889
GO;5213855;Morro Agudo de Goiás;73901
GO;5213905;Mossâmedes;71365
GO;5214002;Mozarlândia;76677
GO;5214051;Mundo Novo;69609
GO;5214101;Mutunópolis;71749
GO;5214408;Nazário;66755
GO;5214507;Nerópolis;76287
GO;5214606;Niquelândia;73471
GO;5214705;Nova América;71436
GO;5214804;Nova Aurora;73061
GO;5214838;Nova Crixás;75545
GO;5214861;Nova Glória;63632
GO;5214879;Nova Iguaçu de Goiás;69265
GO;5214903;Nova Roma;56804
GO;5215009;Nova Veneza;72722
GO;5215207;Novo Brasil;70965
GO;5215231;Novo Gama;74481
GO;5215256;Novo Planalto;72789
GO;5215306;Orizona;74862
GO;5215405;Ouro Verde de Goiás;71037
GO;5215504;Ouvidor;71842
GO;5215603;Padre Bernardo;62548
GO;5215652;Palestina de Goiás;74473
GO;5215702;Palmeiras de Goiás;76131
GO;5215801;Palmelo;7206
GO;5215900;Palminópolis;76707
GO;5216007;Panamá;72097
GO;5216304;Paranaiguara;70826
GO;5216403;Paraúna;76283
GO;5216452;Perolândia;77274
GO;5216809;Petrolina de Goiás;74663
GO;5216908;Pilar de Goiás;61
GO;5217104;Piracanjuba;7365
GO;5217203;Piranhas;73476
GO;5217302;Pirenópolis;68304
GO;5217401;Pires do Rio;6837
GO;5217609;Planaltina;70748
GO;5217708;Pontalina;7416
GO;5218003;Porangatu;74087
GO;5218052;Porteirão;77484
GO;5218102;Portelândia;79319
GO;5218300;Posse;61194
GO;5218391;Professor Jamil;70815
GO;5218508;Quirinópolis;77092
GO;5218607;Rialma;71004
GO;5218706;Rianápolis;71294
GO;5218789;Rio Quente;80047
GO;5218805;Rio Verde;79012
GO;5218904;Rubiataba;73864
GO;5219001;Sanclerlândia;66839
GO;5219100;Santa Bárbara de Goiás;73366
GO;5219209;Santa Cruz de Goiás;767
GO;5219258;Santa Fé de Goiás;75731
GO;5219308;Santa Helena de Goiás;79132
GO;5219357;Santa Isabel;71793
GO;5219407;Santa Rita do Araguaia;73044
GO;5219456;Santa Rita do Novo Destino;70856
GO;5219506;Santa Rosa de Goiás;72152
GO;5219605;Santa Tereza de Goiás;69573
GO;5219704;Santa Terezinha de Goiás;7406
GO;5219712;Santo Antônio da Barra;74795
GO;5219738;Santo Antônio de Goiás;78474
GO;5219753;Santo Antônio do Descoberto;69838
GO;5219803;São Domingos;47296
GO;5219902;São Francisco de Goiás;69608
GO;5220009;São João d'Aliança;6216
GO;5220058;São João da Paraúna;75801
GO;5220108;São Luís de Montes Belos;72644
GO;5220157;São Luíz do Norte;70407
GO;5220207;São Miguel do Araguaia;76676
GO;5220264;São Miguel do Passa Quatro;78072
GO;5220280;São Patrício;67949
GO;5220405;São Simão;68085
GO;5220454;Senador Canedo;75988
GO;5220504;Serranópolis;80995
GO;5220603;Silvânia;73366
GO;5220686;Simolândia;5389
GO;5220702;Sítio d'Abadia;44703
GO;5221007;Taquaral de Goiás;65124
GO;5221080;Teresina de Goiás;52746
GO;5221197;Terezópolis de Goiás;71816
GO;5221304;Três Ranchos;71607
GO;5221403;Trindade;70868
GO;5221452;Trombas;65367
GO;5221502;Turvânia;73301
GO;5221551;Turvelândia;74954
GO;5221577;Uirapuru;68783
GO;5221601;Uruaçu;69303
GO;5221700;Uruana;72893
GO;5221809;Urutaí;71848
GO;5221858;Valparaíso de Goiás;75125
GO;5221908;Varjão;75741
GO;5222005;Vianópolis;75016
GO;5222054;Vicentinópolis;76505
GO;5222203;Vila Boa;63346
GO;5222302;Vila Propício;62018
MA;2100055;Açailândia;74467
MA;2100105;Afonso Cunha;63102
MA;2100154;Água Doce do Maranhão;32552
MA;2100204;Alcântara;46799
MA;2100303;Aldeias Altas;54297
MA;2100402;Altamira do Maranhão;5242
MA;2100436;Alto Alegre do Maranhão;31342
MA;2100477;Alto Alegre do Pindaré;67105
MA;2100501;Alto Parnaíba;4455
MA;2100550;Amapá do Maranhão;71848
MA;2100600;Amarante do Maranhão;42732
MA;2100709;Anajatuba;65819
MA;2100808;Anapurus;66923
MA;2100832;Apicum-Açu;52285
MA;2100873;Araguanã;50082
MA;2100907;Araioses;39594
MA;2100956;Arame;69403
MA;2101004;Arari;58485
MA;2101103;Axixá;57032
MA;2101202;Bacabal;63219
MA;2101251;Bacabeira;56538
MA;2101301;Bacuri;61324
MA;2101350;Bacurituba;44413
MA;2101400;Balsas;6931
MA;2101509;Barão de Grajaú;45416
MA;2101608;Barra do Corda;4852
MA;2101707;Barreirinhas;67413
MA;2101731;Belágua;44135
MA;2101772;Bela Vista do Maranhão;55332
MA;2101806;Benedito Leite;36478
MA;2101905;Bequimão;46525
MA;2101939;Bernardo do Mearim;55632
MA;2101970;Boa Vista do Gurupi;62961
MA;2102002;Bom Jardim;3238
MA;2102036;Bom Jesus das Selvas;77419
MA;2102077;Bom Lugar;48471
MA;2102101;Brejo;32442
MA;2102150;Brejo de Areia;65434
MA;2102200;Buriti;52751
MA;2102309;Buriti Bravo;68576
MA;2102325;Buriticupu;72648
MA;2102358;Buritirana;74258
MA;2102374;Cachoeira Grande;66754
MA;2102408;Cajapió;62894
MA;2102507;Cajari;67909
MA;2102556;Campestre do Maranhão;59677
MA;2102606;Cândido Mendes;56395
MA;2102705;Cantanhede;62
MA;2102754;Capinzal do Norte;61688
MA;2102804;Carolina;58066
MA;2102903;Carutapera;55239
MA;2103000;Caxias;60801
MA;2103109;Cedral;5612
MA;2103125;Central do Maranhão;62689
MA;2103158;Centro do Guilherme;61056
MA;2103174;Centro Novo do Maranhão;72845
MA;2103208;Chapadinha;61338
MA;2103257;Cidelândia;7004
MA;2103307;Codó;55072
MA;2103406;Coelho Neto;68593
MA;2103505;Colinas;64034
MA;2103554;Conceição do Lago-Açu;67026
MA;2103604;Coroatá;55885
MA;2103703;Cururupu;69386
MA;2103752;Davinópolis;67295
MA;2103802;Dom Pedro;75784
MA;2103901;Duque Bacelar;69186
MA;2104008;Esperantinópolis;57294
MA;2104057;Estreito;63015
MA;2104073;Feira Nova do Maranhão;55819
MA;2104081;Fernando Falcão;66451
MA;2104099;Formosa da Serra Negra;63417
MA;2104107;Fortaleza dos Nogueiras;47209
MA;2104206;Fortuna;53872
MA;2104305;Godofredo Viana;5147
MA;2104404;Gonçalves Dias;6897
MA;2104503;Governador Archer;72228
MA;2104552;Governador Edison Lobão;64417
MA;2104602;Governador Eugênio Barros;71176
MA;2104628;Governador Luiz Rocha;75535
MA;2104651;Governador Newton Bello;37772
MA;2104677;Governador Nunes Freire;78289
MA;2104701;Graça Aranha;75598
MA;2104800;Grajaú;65275
MA;2104909;Guimarães;60453
MA;2105005;Humberto de Campos;57764
MA;2105104;Icatu;44195
MA;2105153;Igarapé do Meio;55352
MA;2105203;Igarapé Grande;566
MA;2105302;Imperatriz;73947
MA;2105351;Itaipava do Grajaú;67097
MA;2105401;Itapecuru Mirim;6574
MA;2105427;Itinga do Maranhão;68513
MA;2105450;Jatobá;54569
MA;2105476;Jenipapo dos Vieiras;62745
MA;2105500;João Lisboa;74997
MA;2105609;Joselândia;53984
MA;2105658;Junco do Maranhão;60511
MA;2105708;Lago da Pedra;66481
MA;2105807;Lago do Junco;56133
MA;2105906;Lago Verde;53432
MA;2105922;Lagoa do Mato;45673
MA;2105948;Lago dos Rodrigues;67074
MA;2105963;Lagoa Grande do Maranhão;42074
MA;2105989;Lajeado Novo;58873
MA;2106003;Lima Campos;48297
MA;2106102;Loreto;36201
MA;2106201;Luís Domingues;55824
MA;2106300;Magalhães de Almeida;41827
MA;2106326;Maracaçumé;56962
MA;2106359;Marajá do Sena;59363
MA;2106375;Maranhãozinho;46388
MA;2106409;Mata Roma;50843
MA;2106508;Matinha;61393
MA;2106607;Matões;68269
MA;2106631;Matões do Norte;74885
MA;2106672;Milagres do Maranhão;66703
MA;2106706;Mirador;66244
MA;2106755;Miranda do Norte;78118
MA;2106805;Mirinzal;6368
MA;2106904;Monção;70818
MA;2107001;Montes Altos;66571
MA;2107100;Morros;58999
MA;2107209;Nina Rodrigues;72196
MA;2107258;Nova Colinas;3085
MA;2107308;Nova Iorque;4428
MA;2107357;Nova Olinda do Maranhão;34962
MA;2107407;Olho d'Água das Cunhãs;63666
MA;2107456;Olinda Nova do Maranhão;69872
MA;2107506;Paço do Lumiar;75911
MA;2107605;Palmeirândia;62748
MA;2107704;Paraibano;58407
MA;2107803;Parnarama;51509
MA;2107902;Passagem Franca;51322
MA;2108009;Pastos Bons;37587
MA;2108058;Paulino Neves;5189
MA;2108108;Paulo Ramos;6705
MA;2108207;Pedreiras;62211
MA;2108256;Pedro do Rosário;60114
MA;2108306;Penalva;70096
MA;2108405;Peri Mirim;57904
MA;2108454;Peritoró;49463
MA;2108504;Pindaré-Mirim;58965
MA;2108603;Pinheiro;62551
MA;2108702;Pio XII;52503
MA;2108801;Pirapemas;758
MA;2108900;Poção de Pedras;53205
MA;2109007;Porto Franco;72309
MA;2109056;Porto Rico do Maranhão;67038
MA;2109106;Presidente Dutra;71428
MA;2109205;Presidente Juscelino;63373
MA;2109239;Presidente Médici;51356
MA;2109270;Presidente Sarney;69272
MA;2109304;Presidente Vargas;71845
MA;2109403;Primeira Cruz;72383
MA;2109452;Raposa;71417
MA;2109502;Riachão;57464
MA;2109551;Ribamar Fiquene;56563
MA;2109601;Rosário;53063
MA;2109700;Sambaíba;34111
MA;2109759;Santa Filomena do Maranhão;6673
MA;2109809;Santa Helena;65826
MA;2109908;Santa Inês;67101
MA;2110005;Santa Luzia;67608
MA;2110039;Santa Luzia do Paruá;65051
MA;2110104;Santa Quitéria do Maranhão;58889
MA;2110203;Santa Rita;46669
MA;2110237;Santana do Maranhão;43941
MA;2110278;Santo Amaro do Maranhão;47198
MA;2110302;Santo Antônio dos Lopes;73246
MA;2110401;São Benedito do Rio Preto;33323
MA;2110500;São Bento;63076
MA;2110609;São Bernardo;39043
MA;2110658;São Domingos do Azeitão;49935
MA;2110708;São Domingos do Maranhão;72997
MA;2110807;São Félix de Balsas;58024
MA;2110856;São Francisco do Brejão;69548
MA;2110906;São Francisco do Maranhão;33919
MA;2111003;São João Batista;56316
MA;2111029;São João do Carú;54688
MA;2111052;São João do Paraíso;5132
MA;2111078;São João do Soter;60328
MA;2111102;São João dos Patos;58247
MA;2111201;São José de Ribamar;67882
MA;2111250;São José dos Basílios;75221
MA;2111300;São Luís;71335
MA;2111409;São Luís Gonzaga do Maranhão;47605
MA;2111508;São Mateus do Maranhão;59989
MA;2111532;São Pedro da Água Branca;75462
MA;2111573;São Pedro dos Crentes;46752
MA;2111607;São Raimundo das Mangabeiras;48944
MA;2111631;São Raimundo do Doca Bezerra;66027
MA;2111672;São Roberto;5048
MA;2111706;São Vicente Ferrer;55477
MA;2111722;Satubinha;4851
MA;2111748;Senador Alexandre Costa;6893
MA;2111763;Senador La Rocque;67779
MA;2111789;Serrano do Maranhão;6784
MA;2111805;Sítio Novo;48396
MA;2111904;Sucupira do Norte;4803
MA;2111953;Sucupira do Riachão;61841
MA;2112001;Tasso Fragoso;66805
MA;2112100;Timbiras;45094
MA;2112209;Timon;66266
MA;2112233;Trizidela do Vale;62349
MA;2112274;Tufilândia;54615
MA;2112308;Tuntum;74279
MA;2112407;Turiaçu;69827
MA;2112456;Turilândia;45637
MA;2112506;Tutóia;47121
MA;2112605;Urbano Santos;49091
MA;2112704;Vargem Grande;67331
MA;2112803;Viana;63636
MA;2112852;Vila Nova dos Martírios;73645
MA;2112902;Vitória do Mearim;74393
MA;2113009;Vitorino Freire;65163
MA;2114007;Zé Doca;6362
MG;3100104;Abadia dos Dourados;73129
MG;3100203;Abaeté;71989
MG;3100302;Abre Campo;69688
MG;3100401;Acaiaca;61214
MG;3100500;Açucena;48778
MG;3100609;Água Boa;56795
MG;3100708;Água Comprida;74618
MG;3100807;Aguanil;6988
MG;3100906;Águas Formosas;61672
MG;3101003;Águas Vermelhas;64098
MG;3101102;Aimorés;61579
MG;3101201;Aiuruoca;65498
MG;3101300;Alagoa;67605
MG;3101409;Albertina;78953
MG;3101508;Além Paraíba;67922
MG;3101607;Alfenas;75911
MG;3101631;Alfredo Vasconcelos;71587
MG;3101706;Almenara;62049
MG;3101805;Alpercata;6767
MG;3101904;Alpinópolis;79815
MG;3102001;Alterosa;75883
MG;3102050;Alto Caparaó;72933
MG;3102100;Alto Rio Doce;55017
MG;3102209;Alvarenga;63118
MG;3102308;Alvinópolis;65945
MG;3102407;Alvorada de Minas;56567
MG;3102506;Amparo do Serra;57912
MG;3102605;Andradas;70824
MG;3102704;Cachoeira de Pajeú;5921
MG;3102803;Andrelândia;62409
MG;3102852;Angelândia;75416
MG;3102902;Antônio Carlos;67173
MG;3103009;Antônio Dias;61615
MG;3103108;Antônio Prado de Minas;6846
MG;3103207;Araçaí;66651
MG;3103306;Aracitaba;62665
MG;3103405;Araçuaí;54608
MG;3103504;Araguari;72797
MG;3103603;Arantina;6657
MG;3103702;Araponga;69245
MG;3103751;Araporã;77319
MG;3103801;Arapuá;69256
MG;3103900;Araújos;77684
MG;3104007;Araxá;69999
MG;3104106;Arceburgo;76097
MG;3104205;Arcos;71033
MG;3104304;Areado;77691
MG;3104403;Argirita;67674
MG;3104452;Aricanduva;53095
MG;3104502;Arinos;57336
MG;3104601;Astolfo Dutra;70811
MG;3104700;Ataléia;6354
MG;3104809;Augusto de Lima;67276
MG;3104908;Baependi;63345
MG;3105004;Baldim;61607
MG;3105103;Bambuí;70581
MG;3105202;Bandeira;56224
MG;3105301;Bandeira do Sul;7951
MG;3105400;Barão de Cocais;61511
MG;3105509;Barão de Monte Alto;65664
MG;3105608;Barbacena;66061
MG;3105707;Barra Longa;58991
MG;3105905;Barroso;62767
MG;3106002;Bela Vista de Minas;60315
MG;3106101;Belmiro Braga;6819
MG;3106200;Belo Horizonte;69423
MG;3106309;Belo Oriente;65471
MG;3106408;Belo Vale;64444
MG;3106507;Berilo;56381
MG;3106606;Bertópolis;61428
MG;3106655;Berizal;61734
MG;3106705;Betim;72312
MG;3106804;Bias Fortes;64761
MG;3106903;Bicas;63915
MG;3107000;Biquinhas;65811
MG;3107109;Boa Esperança;72782
MG;3107208;Bocaina de Minas;6819
MG;3107307;Bocaiúva;67491
MG;3107406;Bom Despacho;73358
MG;3107505;Bom Jardim de Minas;65871
MG;3107604;Bom Jesus da Penha;7324
MG;3107703;Bom Jesus do Amparo;6366
MG;3107802;Bom Jesus do Galho;6079
MG;3107901;Bom Repouso;67591
MG;3108008;Bom Sucesso;70027
MG;3108107;Bonfim;63276
MG;3108206;Bonfinópolis de Minas;69219
MG;3108255;Bonito de Minas;30135
MG;3108305;Borda da Mata;72824
MG;3108404;Botelhos;80567
MG;3108503;Botumirim;49828
MG;3108552;Brasilândia de Minas;70693
MG;3108602;Brasília de Minas;57866
MG;3108701;Brás Pires;5079
MG;3108800;Braúnas;48797
MG;3108909;Brasópolis;6235
MG;3109006;Brumadinho;73205
MG;3109105;Bueno Brandão;74724
MG;3109204;Buenópolis;57313
MG;3109253;Bugre;48996
MG;3109303;Buritis;67878
MG;3109402;Buritizeiro;66238
MG;3109451;Cabeceira Grande;74273
MG;3109501;Cabo Verde;77544
MG;3109600;Cachoeira da Prata;66001
MG;3109709;Cachoeira de Minas;73597
MG;3109808;Cachoeira Dourada;73839
MG;3109907;Caetanópolis;63123
MG;3110004;Caeté;63533
MG;3110103;Caiana;61212
MG;3110202;Cajuri;66391
MG;3110301;Caldas;75592
MG;3110400;Camacho;65144
MG;3110509;Camanducaia;72054
MG;3110608;Cambuí;70405
MG;3110707;Cambuquira;74974
MG;3110806;Campanário;66245
MG;3110905;Campanha;75051
MG;3111002;Campestre;7928
MG;3111101;Campina Verde;71534
MG;3111150;Campo Azul;42501
MG;3111200;Campo Belo;7116
MG;3111309;Campo do Meio;75193
MG;3111408;Campo Florido;7638
MG;3111507;Campos Altos;78569
MG;3111606;Campos Gerais;80489
MG;3111705;Canaã;6351
MG;3111804;Canápolis;75619
MG;3111903;Cana Verde;72075
MG;3112000;Candeias;71382
MG;3112059;Cantagalo;54111
MG;3112109;Caparaó;73931
MG;3112208;Capela Nova;61064
MG;3112307;Capelinha;73826
MG;3112406;Capetinga;78582
MG;3112505;Capim Branco;68905
MG;3112604;Capinópolis;72961
MG;3112653;Capitão Andrade;58726
MG;3112703;Capitão Enéas;65019
MG;3112802;Capitólio;77429
MG;3112901;Caputira;66523
MG;3113008;Caraí;68866
MG;3113107;Caranaíba;63222
MG;3113206;Carandaí;56092
MG;3113305;Carangola;65417
MG;3113404;Caratinga;67507
MG;3113503;Carbonita;51435
MG;3113602;Careaçu;73846
MG;3113701;Carlos Chagas;66985
MG;3113800;Carmésia;60733
MG;3113909;Carmo da Cachoeira;78758
MG;3114006;Carmo da Mata;70421
MG;3114105;Carmo de Minas;72565
MG;3114204;Carmo do Cajuru;75008
MG;3114303;Carmo do Paranaíba;72968
MG;3114402;Carmo do Rio Claro;79304
MG;3114501;Carmópolis de Minas;6775
MG;3114550;Carneirinho;78318
MG;3114600;Carrancas;62441
MG;3114709;Carvalhópolis;72767
MG;3114808;Carvalhos;68476
MG;3114907;Casa Grande;61913
MG;3115003;Cascalho Rico;77078
MG;3115102;Cássia;782
MG;3115201;Conceição da Barra de Minas;66841
MG;3115300;Cataguases;63579
MG;3115359;Catas Altas;60859
MG;3115409;Catas Altas da Noruega;53557
MG;3115458;Catuji;65143
MG;3115474;Catuti;671
MG;3115508;Caxambu;67421
MG;3115607;Cedro do Abaeté;70352
MG;3115706;Central de Minas;57524
MG;3115805;Centralina;73055
MG;3115904;Chácara;65669
MG;3116001;Chalé;66947
MG;3116100;Chapada do Norte;58778
MG;3116159;Chapada Gaúcha;4279
MG;3116209;Chiador;67255
MG;3116308;Cipotânea;49502
MG;3116407;Claraval;77739
MG;3116506;Claro dos Poções;66399
MG;3116605;Cláudio;74537
MG;3116704;Coimbra;62458
MG;3116803;Coluna;51474
MG;3116902;Comendador Gomes;75799
MG;3117009;Comercinho;46718
MG;3117108;Conceição da Aparecida;77316
MG;3117207;Conceição das Pedras;73505
MG;3117306;Conceição das Alagoas;7426
MG;3117405;Conceição de Ipanema;63451
MG;3117504;Conceição do Mato Dentro;49734
MG;3117603;Conceição do Pará;66456
MG;3117702;Conceição do Rio Verde;72858
MG;3117801;Conceição dos Ouros;76472
MG;3117836;Cônego Marinho;34172
MG;3117876;Confins;70882
MG;3117900;Congonhal;74506
MG;3118007;Congonhas;65497
MG;3118106;Congonhas do Norte;48956
MG;3118205;Conquista;7479
MG;3118304;Conselheiro Lafaiete;63843
MG;3118403;Conselheiro Pena;64521
MG;3118502;Consolação;65559
MG;3118601;Contagem;72007
MG;3118700;Coqueiral;75152
MG;3118809;Coração de Jesus;59577
MG;3118908;Cordisburgo;64279
MG;3119005;Cordislândia;74367
MG;3119104;Corinto;62921
MG;3119203;Coroaci;67272
MG;3119302;Coromandel;75492
MG;3119401;Coronel Fabriciano;6516
MG;3119500;Coronel Murta;65194
MG;3119609;Coronel Pacheco;67639
MG;3119708;Coronel Xavier Chaves;69226
MG;3119807;Córrego Danta;73837
MG;3119906;Córrego do Bom Jesus;68084
MG;3119955;Córrego Fundo;73368
MG;3120003;Córrego Novo;58888
MG;3120102;Couto de Magalhães de Minas;60607
MG;3120151;Crisólita;4969
MG;3120201;Cristais;75877
